vector_index,ID,Symbol,Security,Wikipedia_URL
42,43,ACGL,Arch Capital Group,https://en.wikipedia.org/wiki/Arch_Capital_Group
43,44,ADM,Archer Daniels Midland,https://en.wikipedia.org/wiki/Archer_Daniels_Midland
44,45,ANET,Arista Networks,https://en.wikipedia.org/wiki/Arista_Networks
45,46,AJG,Arthur J. Gallagher & Co.,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.
46,47,AIZ,Assurant,https://en.wikipedia.org/wiki/Assurant
47,48,T,AT&T,https://en.wikipedia.org/wiki/AT%26T
48,49,ATO,Atmos Energy,https://en.wikipedia.org/wiki/Atmos_Energy
49,50,ADSK,Autodesk,https://en.wikipedia.org/wiki/Autodesk
50,51,ADP,Automatic Data Processing,https://en.wikipedia.org/wiki/ADP_(company)
51,52,AZO,AutoZone,https://en.wikipedia.org/wiki/AutoZone
52,53,AVB,AvalonBay Communities,https://en.wikipedia.org/wiki/AvalonBay_Communities
53,54,AVY,Avery Dennison,https://en.wikipedia.org/wiki/Avery_Dennison
54,55,AXON,Axon Enterprise,https://en.wikipedia.org/wiki/Axon_Enterprise
55,56,BKR,Baker Hughes,https://en.wikipedia.org/wiki/Baker_Hughes
56,57,BALL,Ball Corporation,https://en.wikipedia.org/wiki/Ball_Corporation
57,58,BAC,Bank of America,https://en.wikipedia.org/wiki/Bank_of_America
58,59,BAX,Baxter International,https://en.wikipedia.org/wiki/Baxter_International
59,60,BDX,Becton Dickinson,https://en.wikipedia.org/wiki/BD_(company)
60,61,BRK.B,Berkshire Hathaway,https://en.wikipedia.org/wiki/Berkshire_Hathaway
61,62,BBY,Best Buy,https://en.wikipedia.org/wiki/Best_Buy
62,63,TECH,Bio-Techne,https://en.wikipedia.org/wiki/Bio-Techne
63,64,BIIB,Biogen,https://en.wikipedia.org/wiki/Biogen
64,65,BLK,BlackRock,https://en.wikipedia.org/wiki/BlackRock
65,66,BX,Blackstone Inc.,https://en.wikipedia.org/wiki/Blackstone_Inc.
66,67,XYZ,"Block, Inc.","https://en.wikipedia.org/wiki/Block,_Inc."
67,68,BK,BNY Mellon,https://en.wikipedia.org/wiki/BNY
68,69,BA,Boeing,https://en.wikipedia.org/wiki/Boeing
69,70,BKNG,Booking Holdings,https://en.wikipedia.org/wiki/Booking_Holdings
70,71,BSX,Boston Scientific,https://en.wikipedia.org/wiki/Boston_Scientific
71,72,BMY,Bristol Myers Squibb,https://en.wikipedia.org/wiki/Bristol_Myers_Squibb
72,73,AVGO,Broadcom,https://en.wikipedia.org/wiki/Broadcom
73,74,BR,Broadridge Financial Solutions,https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions
74,75,BRO,Brown & Brown,https://en.wikipedia.org/wiki/Brown_%26_Brown
75,76,BF.B,Brown–Forman,https://en.wikipedia.org/wiki/Brown%E2%80%93Forman
76,77,BLDR,Builders FirstSource,https://en.wikipedia.org/wiki/Builders_FirstSource
77,78,BG,Bunge Global,https://en.wikipedia.org/wiki/Bunge_Global
78,79,BXP,"BXP, Inc.","https://en.wikipedia.org/wiki/BXP,_Inc."
79,80,CHRW,C.H. Robinson,https://en.wikipedia.org/wiki/C.H._Robinson
80,81,CDNS,Cadence Design Systems,https://en.wikipedia.org/wiki/Cadence_Design_Systems
81,82,CPT,Camden Property Trust,https://en.wikipedia.org/wiki/Camden_Property_Trust
82,83,CPB,Campbell's Company (The),https://en.wikipedia.org/wiki/Campbell%27s
83,84,COF,Capital One,https://en.wikipedia.org/wiki/Capital_One
84,85,CAH,Cardinal Health,https://en.wikipedia.org/wiki/Cardinal_Health
85,86,KMX,CarMax,https://en.wikipedia.org/wiki/CarMax
86,87,CCL,Carnival,https://en.wikipedia.org/wiki/Carnival_Corporation_%26_plc
87,88,CARR,Carrier Global,https://en.wikipedia.org/wiki/Carrier_Global
88,89,CAT,Caterpillar Inc.,https://en.wikipedia.org/wiki/Caterpillar_Inc.
89,90,CBOE,Cboe Global Markets,https://en.wikipedia.org/wiki/Cboe_Global_Markets
90,91,CBRE,CBRE Group,https://en.wikipedia.org/wiki/CBRE_Group
91,92,CDW,CDW Corporation,https://en.wikipedia.org/wiki/CDW
92,93,COR,Cencora,https://en.wikipedia.org/wiki/Cencora
93,94,CNC,Centene Corporation,https://en.wikipedia.org/wiki/Centene_Corporation
94,95,CNP,CenterPoint Energy,https://en.wikipedia.org/wiki/CenterPoint_Energy
95,96,CF,CF Industries,https://en.wikipedia.org/wiki/CF_Industries
96,97,CRL,Charles River Laboratories,https://en.wikipedia.org/wiki/Charles_River_Laboratories
97,98,SCHW,Charles Schwab Corporation,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation
98,99,CHTR,Charter Communications,https://en.wikipedia.org/wiki/Charter_Communications
99,100,CVX,Chevron Corporation,https://en.wikipedia.org/wiki/Chevron_Corporation
100,101,CMG,Chipotle Mexican Grill,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill
101,102,CB,Chubb Limited,https://en.wikipedia.org/wiki/Chubb_Limited
102,103,CHD,Church & Dwight,https://en.wikipedia.org/wiki/Church_%26_Dwight
103,104,CI,Cigna,https://en.wikipedia.org/wiki/Cigna
104,105,CINF,Cincinnati Financial,https://en.wikipedia.org/wiki/Cincinnati_Financial
105,106,CTAS,Cintas,https://en.wikipedia.org/wiki/Cintas
106,107,CSCO,Cisco,https://en.wikipedia.org/wiki/Cisco
107,108,C,Citigroup,https://en.wikipedia.org/wiki/Citigroup
108,109,CFG,Citizens Financial Group,https://en.wikipedia.org/wiki/Citizens_Financial_Group
109,110,CLX,Clorox,https://en.wikipedia.org/wiki/Clorox
110,111,CME,CME Group,https://en.wikipedia.org/wiki/CME_Group
111,112,CMS,CMS Energy,https://en.wikipedia.org/wiki/CMS_Energy
112,113,KO,Coca-Cola Company (The),https://en.wikipedia.org/wiki/The_Coca-Cola_Company
113,114,CTSH,Cognizant,https://en.wikipedia.org/wiki/Cognizant
114,115,COIN,Coinbase,https://en.wikipedia.org/wiki/Coinbase
115,116,CL,Colgate-Palmolive,https://en.wikipedia.org/wiki/Colgate-Palmolive
116,117,CMCSA,Comcast,https://en.wikipedia.org/wiki/Comcast
117,118,CAG,Conagra Brands,https://en.wikipedia.org/wiki/Conagra_Brands
118,119,COP,ConocoPhillips,https://en.wikipedia.org/wiki/ConocoPhillips
119,120,ED,Consolidated Edison,https://en.wikipedia.org/wiki/Consolidated_Edison
120,121,STZ,Constellation Brands,https://en.wikipedia.org/wiki/Constellation_Brands
121,122,CEG,Constellation Energy,https://en.wikipedia.org/wiki/Constellation_Energy
122,123,COO,Cooper Companies (The),https://en.wikipedia.org/wiki/The_Cooper_Companies
123,124,CPRT,Copart,https://en.wikipedia.org/wiki/Copart
124,125,GLW,Corning Inc.,https://en.wikipedia.org/wiki/Corning_Inc.
125,126,CPAY,Corpay,https://en.wikipedia.org/wiki/Corpay
126,127,CTVA,Corteva,https://en.wikipedia.org/wiki/Corteva
127,128,CSGP,CoStar Group,https://en.wikipedia.org/wiki/CoStar_Group
128,129,COST,Costco,https://en.wikipedia.org/wiki/Costco
129,130,CTRA,Coterra,https://en.wikipedia.org/wiki/Coterra
130,131,CRWD,CrowdStrike,https://en.wikipedia.org/wiki/CrowdStrike
131,132,CCI,Crown Castle,https://en.wikipedia.org/wiki/Crown_Castle
132,133,CSX,CSX Corporation,https://en.wikipedia.org/wiki/CSX_Corporation
133,134,CMI,Cummins,https://en.wikipedia.org/wiki/Cummins
134,135,CVS,CVS Health,https://en.wikipedia.org/wiki/CVS_Health
135,136,DHR,Danaher Corporation,https://en.wikipedia.org/wiki/Danaher_Corporation
136,137,DRI,Darden Restaurants,https://en.wikipedia.org/wiki/Darden_Restaurants
137,138,DDOG,Datadog,https://en.wikipedia.org/wiki/Datadog
138,139,DVA,DaVita,https://en.wikipedia.org/wiki/DaVita
139,140,DAY,Dayforce,https://en.wikipedia.org/wiki/Dayforce
140,141,DECK,Deckers Brands,https://en.wikipedia.org/wiki/Deckers_Brands
141,142,DE,Deere & Company,https://en.wikipedia.org/wiki/John_Deere
142,143,DELL,Dell Technologies,https://en.wikipedia.org/wiki/Dell_Technologies
143,144,DAL,Delta Air Lines,https://en.wikipedia.org/wiki/Delta_Air_Lines
144,145,DVN,Devon Energy,https://en.wikipedia.org/wiki/Devon_Energy
145,146,DXCM,Dexcom,https://en.wikipedia.org/wiki/Dexcom
146,147,FANG,Diamondback Energy,https://en.wikipedia.org/wiki/Diamondback_Energy
147,148,DLR,Digital Realty,https://en.wikipedia.org/wiki/Digital_Realty
148,149,DG,Dollar General,https://en.wikipedia.org/wiki/Dollar_General
149,150,DLTR,Dollar Tree,https://en.wikipedia.org/wiki/Dollar_Tree
150,151,D,Dominion Energy,https://en.wikipedia.org/wiki/Dominion_Energy
151,152,DPZ,Domino's,https://en.wikipedia.org/wiki/Domino%27s
152,153,DASH,DoorDash,https://en.wikipedia.org/wiki/DoorDash
153,154,DOV,Dover Corporation,https://en.wikipedia.org/wiki/Dover_Corporation
154,155,DOW,Dow Inc.,https://en.wikipedia.org/wiki/Dow_Chemical_Company
155,156,DHI,D. R. Horton,https://en.wikipedia.org/wiki/D._R._Horton
156,157,DTE,DTE Energy,https://en.wikipedia.org/wiki/DTE_Energy
157,158,DUK,Duke Energy,https://en.wikipedia.org/wiki/Duke_Energy
158,159,DD,DuPont,https://en.wikipedia.org/wiki/DuPont
159,160,EMN,Eastman Chemical Company,https://en.wikipedia.org/wiki/Eastman_Chemical_Company
160,161,ETN,Eaton Corporation,https://en.wikipedia.org/wiki/Eaton_Corporation
161,162,EBAY,eBay Inc.,https://en.wikipedia.org/wiki/EBay
162,163,ECL,Ecolab,https://en.wikipedia.org/wiki/Ecolab
163,164,EIX,Edison International,https://en.wikipedia.org/wiki/Edison_International
164,165,EW,Edwards Lifesciences,https://en.wikipedia.org/wiki/Edwards_Lifesciences
165,166,EA,Electronic Arts,https://en.wikipedia.org/wiki/Electronic_Arts
166,167,ELV,Elevance Health,https://en.wikipedia.org/wiki/Elevance_Health
167,168,EME,Emcor,https://en.wikipedia.org/wiki/Emcor
168,169,EMR,Emerson Electric,https://en.wikipedia.org/wiki/Emerson_Electric
169,170,ETR,Entergy,https://en.wikipedia.org/wiki/Entergy
170,171,EOG,EOG Resources,https://en.wikipedia.org/wiki/EOG_Resources
171,172,EPAM,EPAM Systems,https://en.wikipedia.org/wiki/EPAM_Systems
172,173,EQT,EQT Corporation,https://en.wikipedia.org/wiki/EQT_Corporation
173,174,EFX,Equifax,https://en.wikipedia.org/wiki/Equifax
174,175,EQIX,Equinix,https://en.wikipedia.org/wiki/Equinix
175,176,EQR,Equity Residential,https://en.wikipedia.org/wiki/Equity_Residential
176,177,ERIE,Erie Indemnity,https://en.wikipedia.org/wiki/Erie_Insurance_Group
177,178,ESS,Essex Property Trust,https://en.wikipedia.org/wiki/Essex_Property_Trust
178,179,EL,Estée Lauder Companies (The),https://en.wikipedia.org/wiki/The_Est%C3%A9e_Lauder_Companies
179,180,EG,Everest Group,https://en.wikipedia.org/wiki/Everest_Group
180,181,EVRG,Evergy,https://en.wikipedia.org/wiki/Evergy
181,182,ES,Eversource Energy,https://en.wikipedia.org/wiki/Eversource_Energy
182,183,EXC,Exelon,https://en.wikipedia.org/wiki/Exelon
183,184,EXE,Expand Energy,https://en.wikipedia.org/wiki/Expand_Energy
184,185,EXPE,Expedia Group,https://en.wikipedia.org/wiki/Expedia_Group
185,186,EXPD,Expeditors International,https://en.wikipedia.org/wiki/Expeditors_International
186,187,EXR,Extra Space Storage,https://en.wikipedia.org/wiki/Extra_Space_Storage
187,188,XOM,ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil
188,189,FFIV,"F5, Inc.","https://en.wikipedia.org/wiki/F5,_Inc."
189,190,FDS,FactSet,https://en.wikipedia.org/wiki/FactSet
190,191,FICO,Fair Isaac,https://en.wikipedia.org/wiki/FICO
191,192,FAST,Fastenal,https://en.wikipedia.org/wiki/Fastenal
192,193,FRT,Federal Realty Investment Trust,https://en.wikipedia.org/wiki/Federal_Realty_Investment_Trust
193,194,FDX,FedEx,https://en.wikipedia.org/wiki/FedEx
194,195,FIS,Fidelity National Information Services,https://en.wikipedia.org/wiki/FIS_(company)
195,196,FITB,Fifth Third Bancorp,https://en.wikipedia.org/wiki/Fifth_Third_Bancorp
196,197,FSLR,First Solar,https://en.wikipedia.org/wiki/First_Solar
197,198,FE,FirstEnergy,https://en.wikipedia.org/wiki/FirstEnergy
198,199,FI,Fiserv,https://en.wikipedia.org/wiki/Fiserv
199,200,F,Ford Motor Company,https://en.wikipedia.org/wiki/Ford_Motor_Company
200,201,FTNT,Fortinet,https://en.wikipedia.org/wiki/Fortinet
201,202,FTV,Fortive,https://en.wikipedia.org/wiki/Fortive
202,203,FOXA,Fox Corporation (Class A),https://en.wikipedia.org/wiki/Fox_Corporation
203,204,FOX,Fox Corporation (Class B),https://en.wikipedia.org/wiki/Fox_Corporation
204,205,BEN,Franklin Resources,https://en.wikipedia.org/wiki/Franklin_Templeton_Investments
205,206,FCX,Freeport-McMoRan,https://en.wikipedia.org/wiki/Freeport-McMoRan
206,207,GRMN,Garmin,https://en.wikipedia.org/wiki/Garmin
207,208,IT,Gartner,https://en.wikipedia.org/wiki/Gartner
208,209,GE,GE Aerospace,https://en.wikipedia.org/wiki/GE_Aerospace
209,210,GEHC,GE HealthCare,https://en.wikipedia.org/wiki/GE_HealthCare
210,211,GEV,GE Vernova,https://en.wikipedia.org/wiki/GE_Vernova
211,212,GEN,Gen Digital,https://en.wikipedia.org/wiki/Gen_Digital
212,213,GNRC,Generac,https://en.wikipedia.org/wiki/Generac
213,214,GD,General Dynamics,https://en.wikipedia.org/wiki/General_Dynamics
214,215,GIS,General Mills,https://en.wikipedia.org/wiki/General_Mills
215,216,GM,General Motors,https://en.wikipedia.org/wiki/General_Motors
216,217,GPC,Genuine Parts Company,https://en.wikipedia.org/wiki/Genuine_Parts_Company
217,218,GILD,Gilead Sciences,https://en.wikipedia.org/wiki/Gilead_Sciences
218,219,GPN,Global Payments,https://en.wikipedia.org/wiki/Global_Payments
219,220,GL,Globe Life,https://en.wikipedia.org/wiki/Globe_Life
220,221,GDDY,GoDaddy,https://en.wikipedia.org/wiki/GoDaddy
221,222,GS,Goldman Sachs,https://en.wikipedia.org/wiki/Goldman_Sachs
222,223,HAL,Halliburton,https://en.wikipedia.org/wiki/Halliburton
223,224,HIG,Hartford (The),https://en.wikipedia.org/wiki/The_Hartford
224,225,HAS,Hasbro,https://en.wikipedia.org/wiki/Hasbro
225,226,HCA,HCA Healthcare,https://en.wikipedia.org/wiki/HCA_Healthcare
226,227,DOC,Healthpeak Properties,https://en.wikipedia.org/wiki/Healthpeak_Properties
227,228,HSIC,Henry Schein,https://en.wikipedia.org/wiki/Henry_Schein
228,229,HSY,Hershey Company (The),https://en.wikipedia.org/wiki/The_Hershey_Company
229,230,HPE,Hewlett Packard Enterprise,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise
230,231,HLT,Hilton Worldwide,https://en.wikipedia.org/wiki/Hilton_Worldwide
231,232,HOLX,Hologic,https://en.wikipedia.org/wiki/Hologic
232,233,HD,Home Depot (The),https://en.wikipedia.org/wiki/Home_Depot
233,234,HON,Honeywell,https://en.wikipedia.org/wiki/Honeywell
234,235,HRL,Hormel Foods,https://en.wikipedia.org/wiki/Hormel_Foods
235,236,HST,Host Hotels & Resorts,https://en.wikipedia.org/wiki/Host_Hotels_%26_Resorts
236,237,HWM,Howmet Aerospace,https://en.wikipedia.org/wiki/Howmet_Aerospace
237,238,HPQ,HP Inc.,https://en.wikipedia.org/wiki/HP_Inc.
238,239,HUBB,Hubbell Incorporated,https://en.wikipedia.org/wiki/Hubbell_Incorporated
239,240,HUM,Humana,https://en.wikipedia.org/wiki/Humana
240,241,HBAN,Huntington Bancshares,https://en.wikipedia.org/wiki/Huntington_Bancshares
241,242,HII,Huntington Ingalls Industries,https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries
242,243,IBM,IBM,https://en.wikipedia.org/wiki/IBM
243,244,IEX,IDEX Corporation,https://en.wikipedia.org/wiki/IDEX_Corporation
244,245,IDXX,Idexx Laboratories,https://en.wikipedia.org/wiki/Idexx_Laboratories
245,246,ITW,Illinois Tool Works,https://en.wikipedia.org/wiki/Illinois_Tool_Works
246,247,INCY,Incyte,https://en.wikipedia.org/wiki/Incyte
247,248,IR,Ingersoll Rand,https://en.wikipedia.org/wiki/Ingersoll_Rand
248,249,PODD,Insulet Corporation,https://en.wikipedia.org/w/index.php?title=Insulet_Corporation&action=edit&redlink=1
249,250,INTC,Intel,https://en.wikipedia.org/wiki/Intel
250,251,IBKR,Interactive Brokers,https://en.wikipedia.org/wiki/Interactive_Brokers
251,252,ICE,Intercontinental Exchange,https://en.wikipedia.org/wiki/Intercontinental_Exchange
252,253,IFF,International Flavors & Fragrances,https://en.wikipedia.org/wiki/International_Flavors_%26_Fragrances
253,254,IP,International Paper,https://en.wikipedia.org/wiki/International_Paper
254,255,IPG,Interpublic Group of Companies (The),https://en.wikipedia.org/wiki/The_Interpublic_Group_of_Companies
255,256,INTU,Intuit,https://en.wikipedia.org/wiki/Intuit
256,257,ISRG,Intuitive Surgical,https://en.wikipedia.org/wiki/Intuitive_Surgical
257,258,IVZ,Invesco,https://en.wikipedia.org/wiki/Invesco
258,259,INVH,Invitation Homes,https://en.wikipedia.org/wiki/Invitation_Homes
259,260,IQV,IQVIA,https://en.wikipedia.org/wiki/IQVIA
260,261,IRM,Iron Mountain,https://en.wikipedia.org/wiki/Iron_Mountain_(company)
261,262,JBHT,J.B. Hunt,https://en.wikipedia.org/wiki/J.B._Hunt
262,263,JBL,Jabil,https://en.wikipedia.org/wiki/Jabil
263,264,JKHY,Jack Henry & Associates,https://en.wikipedia.org/wiki/Jack_Henry_%26_Associates
264,265,J,Jacobs Solutions,https://en.wikipedia.org/wiki/Jacobs_Solutions
265,266,JNJ,Johnson & Johnson,https://en.wikipedia.org/wiki/Johnson_%26_Johnson
266,267,JCI,Johnson Controls,https://en.wikipedia.org/wiki/Johnson_Controls
267,268,JPM,JPMorgan Chase,https://en.wikipedia.org/wiki/JPMorgan_Chase
268,269,K,Kellanova,https://en.wikipedia.org/wiki/Kellanova
269,270,KVUE,Kenvue,https://en.wikipedia.org/wiki/Kenvue
270,271,KDP,Keurig Dr Pepper,https://en.wikipedia.org/wiki/Keurig_Dr_Pepper
271,272,KEY,KeyCorp,https://en.wikipedia.org/wiki/KeyCorp
272,273,KEYS,Keysight Technologies,https://en.wikipedia.org/wiki/Keysight_Technologies
273,274,KMB,Kimberly-Clark,https://en.wikipedia.org/wiki/Kimberly-Clark
274,275,KIM,Kimco Realty,https://en.wikipedia.org/wiki/Kimco_Realty
275,276,KMI,Kinder Morgan,https://en.wikipedia.org/wiki/Kinder_Morgan
276,277,KKR,KKR & Co.,https://en.wikipedia.org/wiki/Kohlberg_Kravis_Roberts
277,278,KLAC,KLA Corporation,https://en.wikipedia.org/wiki/KLA_Corporation
278,279,KHC,Kraft Heinz,https://en.wikipedia.org/wiki/Kraft_Heinz
279,280,KR,Kroger,https://en.wikipedia.org/wiki/Kroger
280,281,LHX,L3Harris,https://en.wikipedia.org/wiki/L3Harris
281,282,LH,Labcorp,https://en.wikipedia.org/wiki/Labcorp
282,283,LRCX,Lam Research,https://en.wikipedia.org/wiki/Lam_Research
283,284,LW,Lamb Weston,https://en.wikipedia.org/wiki/Lamb_Weston
284,285,LVS,Las Vegas Sands,https://en.wikipedia.org/wiki/Las_Vegas_Sands
285,286,LDOS,Leidos,https://en.wikipedia.org/wiki/Leidos
286,287,LEN,Lennar,https://en.wikipedia.org/wiki/Lennar
287,288,LII,Lennox International,https://en.wikipedia.org/wiki/Lennox_International
288,289,LLY,Lilly (Eli),https://en.wikipedia.org/wiki/Eli_Lilly_and_Company
289,290,LIN,Linde plc,https://en.wikipedia.org/wiki/Linde_plc
290,291,LYV,Live Nation Entertainment,https://en.wikipedia.org/wiki/Live_Nation_Entertainment
291,292,LKQ,LKQ Corporation,https://en.wikipedia.org/wiki/LKQ_Corporation
292,293,LMT,Lockheed Martin,https://en.wikipedia.org/wiki/Lockheed_Martin
293,294,L,Loews Corporation,https://en.wikipedia.org/wiki/Loews_Corporation
294,295,LOW,Lowe's,https://en.wikipedia.org/wiki/Lowe%27s
295,296,LULU,Lululemon Athletica,https://en.wikipedia.org/wiki/Lululemon
296,297,LYB,LyondellBasell,https://en.wikipedia.org/wiki/LyondellBasell
297,298,MTB,M&T Bank,https://en.wikipedia.org/wiki/M%26T_Bank
298,299,MPC,Marathon Petroleum,https://en.wikipedia.org/wiki/Marathon_Petroleum
299,300,MAR,Marriott International,https://en.wikipedia.org/wiki/Marriott_International
300,301,MMC,Marsh McLennan,https://en.wikipedia.org/wiki/Marsh_McLennan
301,302,MLM,Martin Marietta Materials,https://en.wikipedia.org/wiki/Martin_Marietta_Materials
302,303,MAS,Masco,https://en.wikipedia.org/wiki/Masco
303,304,MA,Mastercard,https://en.wikipedia.org/wiki/Mastercard
304,305,MTCH,Match Group,https://en.wikipedia.org/wiki/Match_Group
305,306,MKC,McCormick & Company,https://en.wikipedia.org/wiki/McCormick_%26_Company
306,307,MCD,McDonald's,https://en.wikipedia.org/wiki/McDonald%27s
307,308,MCK,McKesson Corporation,https://en.wikipedia.org/wiki/McKesson_Corporation
308,309,MDT,Medtronic,https://en.wikipedia.org/wiki/Medtronic
309,310,MRK,Merck & Co.,https://en.wikipedia.org/wiki/Merck_%26_Co.
310,311,META,Meta Platforms,https://en.wikipedia.org/wiki/Meta_Platforms
311,312,MET,MetLife,https://en.wikipedia.org/wiki/MetLife
312,313,MTD,Mettler Toledo,https://en.wikipedia.org/wiki/Mettler_Toledo
313,314,MGM,MGM Resorts,https://en.wikipedia.org/wiki/MGM_Resorts
314,315,MCHP,Microchip Technology,https://en.wikipedia.org/wiki/Microchip_Technology
315,316,MU,Micron Technology,https://en.wikipedia.org/wiki/Micron_Technology
316,317,MSFT,Microsoft,https://en.wikipedia.org/wiki/Microsoft
317,318,MAA,Mid-America Apartment Communities,https://en.wikipedia.org/wiki/Mid-America_Apartment_Communities
318,319,MRNA,Moderna,https://en.wikipedia.org/wiki/Moderna
319,320,MHK,Mohawk Industries,https://en.wikipedia.org/wiki/Mohawk_Industries
320,321,MOH,Molina Healthcare,https://en.wikipedia.org/wiki/Molina_Healthcare
321,322,TAP,Molson Coors Beverage Company,https://en.wikipedia.org/wiki/Molson_Coors
322,323,MDLZ,Mondelez International,https://en.wikipedia.org/wiki/Mondelez_International
323,324,MPWR,Monolithic Power Systems,https://en.wikipedia.org/wiki/Monolithic_Power_Systems
324,325,MNST,Monster Beverage,https://en.wikipedia.org/wiki/Monster_Beverage
325,326,MCO,Moody's Corporation,https://en.wikipedia.org/wiki/Moody%27s_Corporation
326,327,MS,Morgan Stanley,https://en.wikipedia.org/wiki/Morgan_Stanley
327,328,MOS,Mosaic Company (The),https://en.wikipedia.org/wiki/The_Mosaic_Company
328,329,MSI,Motorola Solutions,https://en.wikipedia.org/wiki/Motorola_Solutions
329,330,MSCI,MSCI Inc.,https://en.wikipedia.org/wiki/MSCI
330,331,NDAQ,"Nasdaq, Inc.","https://en.wikipedia.org/wiki/Nasdaq,_Inc."
331,332,NTAP,NetApp,https://en.wikipedia.org/wiki/NetApp
332,333,NFLX,Netflix,"https://en.wikipedia.org/wiki/Netflix,_Inc."
333,334,NEM,Newmont,https://en.wikipedia.org/wiki/Newmont
334,335,NWSA,News Corp (Class A),https://en.wikipedia.org/wiki/News_Corp
335,336,NWS,News Corp (Class B),https://en.wikipedia.org/wiki/News_Corp
336,337,NEE,NextEra Energy,https://en.wikipedia.org/wiki/NextEra_Energy
337,338,NKE,"Nike, Inc.","https://en.wikipedia.org/wiki/Nike,_Inc."
338,339,NI,NiSource,https://en.wikipedia.org/wiki/NiSource
339,340,NDSN,Nordson Corporation,https://en.wikipedia.org/wiki/Nordson_Corporation
340,341,NSC,Norfolk Southern,https://en.wikipedia.org/wiki/Norfolk_Southern_Railway
341,342,NTRS,Northern Trust,https://en.wikipedia.org/wiki/Northern_Trust
342,343,NOC,Northrop Grumman,https://en.wikipedia.org/wiki/Northrop_Grumman
343,344,NCLH,Norwegian Cruise Line Holdings,https://en.wikipedia.org/wiki/Norwegian_Cruise_Line_Holdings
344,345,NRG,NRG Energy,https://en.wikipedia.org/wiki/NRG_Energy
